id,country,region,first_date,today,url_home,url_price,url_model_docs
MistralAI, FRA,Europe,28-09-2023,27-06-2024,https://mistral.ai,https://mistral.ai/technology/#pricing,
OpenAI, USA,North Am.,28-12-2022,27-06-2024,https://openai.com/api,https://openai.com/pricing,https://platform.openai.com/docs/models/overview
Google, USA,Asia,28-12-2022,27-06-2024,https://cloud.google.com/vertex-ai/,https://cloud.google.com/vertex-ai/generative-ai/pricing?,
Anthropic, USA,North Am.,28-04-2023,27-06-2024,https://www.anthropic.com,https://www.anthropic.com/pricing#anthropic-api,https://www.anthropic.com/pricing#anthropic-api
Cohere, CAN,North Am.,01-01-2024,27-06-2024,https://cohere.com/,https://cohere.com/pricing,
AI21, ISR,Mena,01-01-2024,27-06-2024,https://www.ai21.com/studio/,https://www.ai21.com/studio/pricing,
Amazon, USA,North Am.,28-12-2023,27-06-2024,https://aws.amazon.com,https://aws.amazon.com/fr/bedrock/pricing/,
StabilityAI, GBR,Europe,28-12-2023,27-06-2024,https://platform.stability.ai/pricing,https://platform.stability.ai/pricing,
IBMWatsonxAI, USA,North Am.,01-01-2024,27-06-2024,https://www.ibm.com/products/watsonx-ai/,https://www.ibm.com/products/watsonx-ai/foundation-models#generative,
Alep-Alpha, DEU,Europe,01-01-2024,27-06-2024,https://app.aleph-alpha.com/,https://docs.aleph-alpha.com/docs/pricing/,https://docs.aleph-alpha.com/docs/introduction/model-card
Infomaniak, CHE,Europe,01-01-2024,27-06-2024,https://www.infomaniak.com/,https://www.infomaniak.com/fr/hebergement/ai-tools/tarifs,
MixedbreadAI,DEU,Europe,01-01-2024,27-06-2024,https://www.mixedbread.ai,https://www.mixedbread.ai/pricing,
Deepseek, CHN,Asia,01-01-2024,27-06-2024,https://www.deepseek.com/,https://www.deepseek.com/,
Deepinfra, USA,North Am.,01-01-2024,27-06-2024,https://deepinfra.com,https://deepinfra.com/pricing,
ZhipuAI, CHN,Asia,01-01-2024,27-06-2024,https://www.zhipuai.cn/en/,https://open.bigmodel.cn/pricing,
BaichuanAI, CHN,Asia,01-01-2024,27-06-2024,https://platform.baichuan-ai.com,https://platform.baichuan-ai.com/price,
OpenRouter,USA,North Am.,01-01-2024,27-06-2024,https://openrouter.ai,https://openrouter.ai/docs/models,
AIMLAPI,USA,North Am.,01-01-2024,27-06-2024,https://aimlapi.com,https://aimlapi.com/ai-ml-api-pricing,
Minimaxi,CHN,Asia,01-01-2024,27-06-2024,https://platform.minimaxi.com,https://www.minimaxi.com/en/price,
Databricks, USA,North Am.,28-12-2023,27-06-2024,https://www.databricks.com,https://www.databricks.com/product/pricing/foundation-model-serving,
ClarifayAI, USA,North Am.,,27-06-2024,https://www.clarifai.com/,https://www.clarifai.com/hubfs/Pricing_Page.pdf?hsCtaTracking=6afe55c8-d4f0-4560-8f22-3ca9e6c50963%7C32b0eb0b-9081-4655-a792-4c4c5e319a3c,https://docs.clarifai.com/?__hstc=26175983.cf7fcee6943c4f03c3d5e462787e02d5.1719155058830.1719155058830.1719155058830.1&__hssc=26175983.3.1719155058830&__hsfp=3708446789
TogetherAI, USA,North Am.,28-12-2023,27-06-2024,https://www.together.ai/,https://www.together.ai/pricing,https://docs.together.ai/docs/dedicated-models
ReplicateAI, USA,North Am.,28-12-2023,27-06-2024,,https://replicate.com/pricing,
RekaAI,USA,North Am.,,,,https://www.reka.ai/reka-api,
Deepgram, USA,North Am.,,,,https://deepgram.com/pricing,
PerplexityAI, USA,North Am.,,,,https://docs.perplexity.ai/guides/pricing,
Groq, USA,North Am.,,,,https://groq.com/enterprise-access/,
Lepton AI, USA,North Am.,,,,https://www.lepton.ai/pricing,
Octo AI, USA,North Am.,,,,https://octo.ai/docs/getting-started/pricing-and-billing,https://octo.ai/docs/getting-started/pricing-and-billing
NovitaAI,SGP,Asia,,,"Novita AI - Model APIs, Serverless, GPU Instance In One AI Cloud",https://novita.ai/model-api/pricing,
UpstageAI, KOR,Asia,,,,https://www.upstage.ai/pricing?utm_term=Pricing&utm_content=%2Fgnb,
Hyperbolic,USA,North Am.,,,,https://docs.hyperbolic.xyz/docs/hyperbolic-ai-inference-pricing,
Sensenova, CHN,Asia,,,,https://platform.sensenova.cn/pricing,
Simplismart,IND,Asia,,,,https://www.simplismart.ai/pricing#Tab%201,
Sambanova, USA,North Am.,,,,https://cloud.sambanova.ai/pricingb,
Fal, USA,North Am.,,,,https://fal.ai/pricing,
Lamini, USA,North Am.,,,,https://www.lamini.ai/pricing,
Segmind, IND,Asia,,,,https://www.segmind.com/pricing,
Fireworks, USA,North Am.,,,,https://fireworks.ai/models,
Midjourney, USA,North Am.,,,,https://docs.midjourney.com/docs/model-versions,
Ideogram, USA,North Am.,,,,https://ideogram.ai/pricing,
RevAI, USA,North Am.,,,,https://www.rev.ai/pricing,
Cloudfare, USA,North Am.,,,,https://developers.cloudflare.com/workers-ai/platform/pricing/,
Gladia, FRA,Europe,,,,https://www.gladia.io/pricing,
Speechmatics, GBR,Europe,,,,https://www.speechmatics.com/pricing,
Assemblyai, USA,North Am.,,,,https://www.assemblyai.com/pricing,
Cartesia,USA,North Am.,,,,https://www.cartesia.ai/pricing,
RecraftAI,GBR,Europe,,,,https://www.recraft.ai/blog/pricing-update#appendix,
